Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C21, C9",0603,4,10n,
"C10, C18, C5",1210,3,10u,
"C11, C6",0603,2,47p,
"C12, C14, C2, C20, C22, C3, C32, C33, C34, C35, C36, C37, C40, C41, C42, C43, C44, C45, C54, C58, C60, C61, C65, C69, C70, C72, C74",0603,27,100n,
C13,0603,1,4n7,
"C15, C16, C23, C24, C7, C8",1210,6,47u,
C19,0603,1,100p,
"C25, C27, C28, C29, C31, C53, C59, C66, C68, C71",0603,10,1u,
"C26, C30",0603,2,10u,
"C38, C39, C67",0603,3,4u7,
C4,0603,1,3n3,
"C46, C47",0603,2,36p,
"C48, C49",0402,2,100n,
C50,CP_Radial_D8.0mm_P3.50mm,1,100u,C171434
"C51, C52, C56, C57",0402,4,10n,
"C63, C64",0603,2,15p,
"D1, D2, D3",D_SMC,3,MBRS340,
"D10, D11, D12, D7, D8, D9",0805,6,LED,C110099
"D13, D4, D6",SOT-323_SC-70,3,BAT54W,
"D15, D16, D18, D19, D20",D_SOD-923,5,ESD9B3.3ST5G,
D5,D_SOD-123F,1,BZT52C10,C571378
F2,Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal,1,Fuse,
FB1,0805,1,600r @ 100MHz,
J1,RJ45_Hanrun_HR911105A_Horizontal,1,HR911105A,C12074
J2,Hirose_DF13-07P-1.25DSA_1x07_P1.25mm_Vertical,1,Conn_01x07_Socket,
L1,L_Changjiang_FXL0630,1,10u,C167223
L2,L_Changjiang_FXL0630,1,6u8,C167222
L3,L_Changjiang_FXL0630,1,3u3,C167220
Q4,DOD40P03_TO-252_Q_PMOS_DGS,1,DOD40P03,C36499177
"R1, R10, R3, R5, R8",0603,5,10k2,
R11,0603,1,240r,
R12,0603,1,10k,
"R13, R14",0402,2,330r,
R15,0603,1,3k01,
"R17, R18, R19, R20, R21",0603,5,0r,
R2,0603,1,1k87,
"R22, R32",0402,2,27r,
"R23, R24, R25, R26, R27, R28, R29, R30, R31",0603,9,10k,C98220
R33,0402,1,10r,
"R34, R35, R36, R37, R38, R39",0402,6,100r,
R4,0603,1,6k8,
R6,0603,1,3k24,
R7,0603,1,3k3,
R9,0603,1,20k5,
U1,eLQFP-128_14x14_Pitch0.4mm_EPAD_6.60mm,1,Allwinner_V3s,
"U2, U3, U4",SOIC127P599X175-8N,3,TPS54331DR,
U5,SOT-223-3_TabPin2,1,TLV1117-33,
U6,SOT-223-3_TabPin2,1,TLV1117-18,
U7,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U8,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,C131025
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C12260
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C13738
