Designator,Mid X,Mid Y,Rotation,Layer
C1,135.6,-46.8375,180.0,top
C10,92.9375,-53.1875,270.0,top
C11,83.3375,-47.35,0.0,top
C12,90.3375,-52.5,270.0,top
C13,83.35,-45.65,0.0,top
C14,84.9,-53.1,0.0,bottom
C15,78.1375,-62.9,0.0,top
C16,78.1375,-66.4,0.0,top
C17,111.1375,-46.9,180.0,top
C18,117.55,-52.75,270.0,top
C19,107.4875,-46.9,0.0,top
C2,139.05,-52.1375,270.0,top
C20,114.7,-52.05,270.0,top
C21,107.5,-45.1,0.0,top
C22,109.0625,-52.6,0.0,bottom
C23,102.35,-62.375,0.0,top
C24,102.3375,-65.925,0.0,top
C25,123.2,-62.6125,270.0,top
C26,115.2125,-72.0,180.0,top
C27,115.2125,-70.35,180.0,top
C28,82.0875,-66.8,270.0,top
C29,92.95,-63.4125,270.0,top
C3,133.6,-52.5375,0.0,bottom
C30,94.75,-63.4125,270.0,top
C31,106.1,-73.75,180.0,top
C32,108.4625,-94.75,0.0,bottom
C33,111.95,-89.7625,90.0,bottom
C34,101.0,-75.05,0.0,bottom
C35,107.15,-86.0125,270.0,bottom
C36,104.75,-94.75,0.0,top
C37,92.4,-87.65,270.0,top
C38,104.7375,-96.4,0.0,top
C39,104.7,-75.7,0.0,bottom
C4,131.9,-45.1375,0.0,top
C40,104.7375,-77.45,0.0,bottom
C41,109.4,-81.2125,270.0,bottom
C42,111.35,-93.8,90.0,top
C43,108.7,-89.5,0.0,bottom
C44,109.5,-86.0625,90.0,bottom
C45,104.75,-94.75,180.0,bottom
C46,113.85,-84.3,180.0,top
C47,113.85,-90.9,0.0,top
C48,133.4,-81.5775,270.0,bottom
C49,127.05,-81.76,90.0,bottom
C5,141.75,-52.8875,270.0,top
C50,149.2,-46.9,0.0,top
C51,112.0,-79.0,180.0,top
C52,112.0,-80.1,180.0,top
C53,89.1,-86.15,270.0,top
C54,87.25,-86.15,270.0,top
C56,112.0,-81.3,180.0,top
C57,112.0,-82.45,180.0,top
C58,78.65,-91.55,90.0,bottom
C59,85.3,-85.6625,270.0,bottom
C6,131.9,-46.8375,0.0,top
C60,83.55,-85.6875,270.0,bottom
C61,84.7125,-95.8,180.0,top
C63,78.25,-96.3125,270.0,top
C64,80.8375,-99.55,180.0,top
C65,82.0,-74.95,0.0,top
C66,82.0375,-72.95,0.0,top
C67,104.975,-89.495,180.0,bottom
C68,89.1,-89.7375,270.0,top
C69,87.25,-89.7375,270.0,top
C7,127.1125,-62.5875,0.0,top
C70,80.3875,-86.1,180.0,bottom
C71,80.4125,-84.4,180.0,bottom
C72,81.35,-93.3,180.0,bottom
C74,76.95,-85.65,180.0,top
C8,127.0625,-66.0875,0.0,top
C9,86.9875,-47.35,180.0,top
D1,134.5,-57.3375,0.0,top
D13,76.0125,-95.35,180.0,bottom
D15,74.02,-86.9,0.0,bottom
D16,76.15,-91.53,270.0,bottom
D18,77.15,-99.2,270.0,bottom
D19,73.0775,-99.85,0.0,bottom
D2,85.5875,-57.75,0.0,top
D20,75.58,-93.5,0.0,bottom
D3,109.9,-57.3,0.0,top
D4,75.45,-98.75,90.0,bottom
D5,149.4,-53.1,0.0,top
D6,73.3125,-84.9,180.0,top
F2,157.7,-52.55,270.0,top
FB1,101.25,-73.15,0.0,bottom
J1,135.95,-81.65,90.0,top
J2,73.15,-94.8,270.0,top
L1,125.5,-55.6375,270.0,top
L2,76.5875,-56.2,270.0,top
L3,100.75,-55.6,270.0,top
Q4,149.55,-63.05,180.0,top
R1,124.6,-48.9625,90.0,top
R10,106.05,-75.55,0.0,top
R11,111.95,-86.4,90.0,bottom
R12,110.35,-75.45,0.0,top
R13,142.2525,-90.01,180.0,bottom
R14,142.25,-79.41,180.0,bottom
R15,112.275,-77.4,0.0,top
R17,123.2,-66.075,90.0,top
R18,77.375,-69.15,0.0,top
R19,95.675,-66.25,180.0,top
R2,126.35,-48.9625,270.0,top
R20,101.6,-68.6,0.0,top
R21,111.35,-66.625,270.0,top
R22,84.35,-84.1975,270.0,top
R23,152.7,-52.65,270.0,top
R24,140.6,-47.5,270.0,top
R25,73.45,-67.7375,90.0,top
R26,95.6,-60.35,0.0,top
R27,98.7,-67.2,90.0,top
R28,130.5125,-69.0,180.0,top
R29,107.2,-66.9375,270.0,top
R3,135.6,-45.1375,0.0,top
R30,86.9,-94.25,0.0,top
R31,76.95,-84.05,180.0,top
R32,83.15,-84.1975,270.0,top
R33,81.5,-83.65,270.0,top
R34,74.2025,-88.0,180.0,top
R35,74.2025,-86.9,180.0,top
R36,75.1525,-91.3,270.0,bottom
R37,74.2025,-88.0,0.0,bottom
R38,74.2,-89.15,0.0,bottom
R39,77.15,-92.1,270.0,bottom
R4,87.0125,-45.65,0.0,top
R5,75.8375,-49.575,90.0,top
R6,77.5875,-49.575,270.0,top
R7,111.1,-45.1,0.0,top
R8,100.0,-49.0,90.0,top
R9,101.85,-49.0,270.0,top
U1,101.85,-85.1,0.0,top
U2,133.55,-50.6375,180.0,top
U3,84.9175,-51.235,180.0,top
U4,109.02,-50.695,180.0,top
U5,117.45,-65.75,0.0,top
U6,87.5875,-65.35,180.0,top
U7,82.15,-89.6,90.0,top
U8,79.2625,-79.015,270.0,top
Y1,113.85,-87.6,270.0,top
Y2,80.9,-96.5,270.0,top
